time;random
0:0.033367;1
0:0.066733;1
0:0.100100;1
0:0.133467;1
0:0.166833;1
0:0.200200;1
0:0.233567;1
0:0.266933;1
0:0.300300;1
0:0.333667;1
0:0.367033;1
0:0.400400;1
0:0.433767;1
0:0.467133;1
0:0.500500;1
0:0.533867;1
0:0.567233;1
0:0.600600;1
0:0.633967;1
0:0.667333;1
0:0.700700;1
0:0.734067;1
0:0.767433;1
0:0.800800;1
0:0.834167;1
0:0.867533;1
0:0.900900;1
0:0.934267;1
0:0.967633;1
0:1.001000;1
0:1.034367;1
0:1.101100;1
0:1.134467;1
0:1.301300;1
0:1.368033;1
0:1.401400;1
0:1.434767;1
0:1.468133;1
0:1.501500;1
0:1.534867;1
0:1.568233;1
0:1.601600;1
0:1.634967;1
0:1.668333;1
0:1.701700;1
0:1.735067;1
0:1.768433;1
0:1.801800;1
0:1.835167;1
0:1.868533;1
0:1.901900;1
0:1.935267;1
0:1.968633;1
0:2.002000;1
0:2.035367;1
0:2.068733;1
0:2.102100;1
0:2.135467;1
0:2.168833;1
0:2.202200;1
0:2.235567;1
0:2.268933;1
0:2.302300;1
0:2.335667;1
0:2.369033;1
0:2.402400;1
0:2.435767;1
0:2.469133;1
0:2.502500;1
0:2.535867;1
0:2.569233;1
0:2.602600;1
0:2.635967;1
0:2.669333;1
0:2.702700;1
0:2.736067;1
0:2.769433;1
0:2.802800;1
0:2.836167;1
0:2.869533;1
0:2.902900;1
0:2.936267;1
0:2.969633;1
0:3.003000;1
0:3.036367;1
0:3.069733;1
0:3.103100;1
0:3.136467;1
0:3.169833;1
0:3.203200;1
0:3.236567;1
0:3.269933;1
0:3.303300;1
0:3.336667;1
0:3.370033;1
0:3.403400;1
0:3.436767;1
0:3.470133;1
0:3.503500;1
0:3.536867;1
0:3.570233;1
0:3.603600;1
0:3.636967;1
0:3.670333;1
0:3.703700;1
0:3.737067;1
0:3.770433;1
0:3.803800;1
0:3.837167;1
0:3.870533;1
0:3.903900;1
0:3.937267;1
0:3.970633;1
0:4.004000;1
0:4.037367;1
0:4.070733;1
0:4.104100;1
0:4.137467;1
0:4.170833;1
0:4.204200;1
0:4.237567;1
0:4.270933;1
0:4.304300;1
0:4.337667;1
0:4.371033;1
0:4.404400;1
0:4.437767;1
0:4.471133;1
0:4.504500;1
0:4.537867;1
0:4.571233;1
0:4.604600;1
0:4.637967;1
0:4.671333;1
0:4.704700;1
0:4.738067;1
0:4.771433;1
0:4.804800;1
0:4.838167;1
0:4.871533;1
0:4.904900;1
0:4.938267;1
0:4.971633;1
0:5.005000;1
0:5.038367;1
0:5.105100;1
0:5.138467;1
0:5.171833;1
0:5.205200;1
0:5.238567;1
0:5.271933;1
0:5.305300;1
0:5.338667;1
0:5.372033;1
0:5.405400;1
0:5.438767;1
0:5.472133;1
0:5.505500;1
0:5.538867;1
0:5.572233;1
0:5.605600;1
0:5.638967;1
0:5.672333;1
0:5.705700;1
0:5.739067;1
0:5.772433;1
0:5.805800;1
0:5.839167;1
0:5.872533;1
0:5.905900;1
0:5.939267;1
0:5.972633;1
0:6.006000;1
0:6.039367;1
0:6.072733;1
0:6.106100;1
0:6.139467;1
0:6.172833;1
0:6.206200;1
0:6.239567;1
0:6.272933;1
0:6.306300;1
0:6.339667;1
0:6.373033;1
0:6.406400;1
0:6.439767;1
0:6.473133;1
0:6.506500;1
0:6.539867;1
0:6.573233;1
0:6.606600;1
0:6.639967;1
0:6.673333;1
0:6.706700;1
0:6.740067;1
0:6.773433;1
0:6.806800;1
0:6.840167;1
0:6.873533;1
0:6.906900;1
0:6.940267;1
0:6.973633;1
0:7.007000;1
0:7.040367;1
0:7.073733;1
0:7.107100;1
0:7.140467;1
0:7.173833;1
0:7.207200;1
0:7.240567;1
0:7.273933;1
0:7.307300;1
0:7.340667;1
0:7.374033;1
0:7.407400;1
0:7.440767;1
0:7.474133;1
0:7.507500;1
0:7.540867;1
0:7.574233;1
0:7.607600;1
0:7.640967;1
0:7.674333;1
0:7.707700;1
0:7.741067;1
0:7.774433;1
0:7.807800;1
0:7.841167;1
0:7.874533;1
0:7.907900;1
0:7.941267;1
0:7.974633;1
0:8.008000;1
0:8.041367;1
0:8.074733;1
0:8.108100;1
0:8.141467;1
0:8.174833;1
0:8.208200;1
0:8.241567;1
0:8.274933;1
0:8.308300;1
0:8.341667;1
0:8.408400;1
0:8.441767;1
0:8.475133;1
0:8.508500;1
0:8.541867;1
0:8.608600;1
0:8.641967;1
0:8.708700;1
